Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/05  17:00:00,1307.57148583,114.788349809,401.867248283,0.0,243.2593065,310.10971186,469.057438289,357.50903691,84.9700494144,26.5783519642
 01/05  18:00:00,1349.78291305,114.619179875,435.638658917,0.0,243.2593065,310.10971186,503.980879097,392.725553922,84.9700494144,26.2852757597
 01/05  19:00:00,1074.72120767,102.203354281,425.781776605,0.0,166.938926447,199.110933808,512.845383413,410.406371805,84.9700494144,17.468962194
 01/05  20:00:00,1077.12534015,102.203354281,414.903152474,0.0,166.938926447,191.61365848,498.898210654,424.782159671,56.6466996096,17.4693513732
 01/05  21:00:00,943.176244363,102.203354281,407.677540038,0.0,100.150657288,124.558693486,542.323978648,468.207496251,56.6466996096,17.4697827878
 01/05  22:00:00,898.273313608,102.203354281,402.713846737,0.0,100.150657288,124.558693486,539.197246259,479.289573214,42.4850247072,17.4226483385
 01/05  23:00:00,829.583922554,102.203354281,399.453209459,0.0,46.0930336215,124.558693486,537.061045536,500.017889739,28.3233498048,8.71980599246
 01/05  24:00:00,829.190085959,102.203354281,398.195965123,0.0,46.0930336215,124.558693486,537.514550086,505.936720066,14.1616749024,17.4161551177
 01/06  01:00:00,816.038099238,102.203354281,397.749524089,0.0,46.0930336215,113.312780494,535.695858187,512.613481068,5.66466996096,17.4177071577
 01/06  02:00:00,815.951901963,102.203354281,397.590221332,0.0,46.0930336215,113.312780494,533.645977353,519.264074218,5.66466996096,8.71723317367
 01/06  03:00:00,826.820327198,102.203354281,396.134747653,0.0,46.0930336215,113.312780494,547.226563819,524.1449506,5.66466996096,17.4169432583
 01/06  04:00:00,830.185601362,102.203354281,392.186430462,0.0,46.0930336215,113.312780494,553.752930585,530.669829899,5.66466996096,17.4184307246
 01/06  05:00:00,919.535902283,102.203354281,386.309698695,0.0,100.150657288,148.969399434,533.315322638,518.933100592,5.66466996096,8.7175520844
 01/06  06:00:00,921.091745609,102.796704932,378.677836999,0.0,100.150657288,149.894399434,772.479079279,740.899084601,14.1616749024,17.418319775
 01/06  07:00:00,1151.13426425,104.424630459,373.505084504,0.0,176.471037341,302.612436532,610.690232884,564.94855879,28.3233498048,17.4183242896
 01/06  08:00:00,1266.3789204,107.256884918,372.337743682,0.0,243.2593065,310.10971186,580.545237416,511.691400953,42.4850247072,26.3688117556
 01/06  09:00:00,1308.4126891,108.886885899,379.095333351,0.0,243.2593065,310.10971186,539.418723651,456.258151482,56.6466996096,26.5138725596
 01/06  10:00:00,1336.02341289,109.990937727,391.958596644,0.0,243.2593065,302.612436532,492.734275245,414.770343875,42.4850247072,35.4789066627
 01/06  11:00:00,1332.90446508,110.620527681,407.382959384,0.0,243.2593065,310.10971186,502.664091668,395.36717033,70.808374512,36.4885468269
