days_ap_kor_amt,days_unit_ap_qty,days_unit_price,incremental_number,org_display,ap_date
240000,1,240000,416,Gwangyang,2017-05-29T00:00:00.0000000
240000,4,60000,6467,Iksan VIP,2016-09-08T00:00:00.0000000
240000,4,60000,12604,Gwangyang,2013-06-14T00:00:00.0000000
240000,20,12000,3842,Iksan VIP,2014-12-26T00:00:00.0000000
240000,6000,40,11269,Iksan,2014-03-28T00:00:00.0000000
244200,132,1850,4883,Iksan VIP,2015-10-29T00:00:00.0000000
245000,7000,35,932,Iksan,2014-02-11T00:00:00.0000000
247600,35,98000,9947,Iksan,2018-09-19T00:00:00.0000000
248000,10,24800,7149,Iksan VIP,2015-02-03T00:00:00.0000000
250000,1,250000,5157,Gwangyang,2016-07-05T00:00:00.0000000
250000,1,250000,9079,Gwangyang,2018-02-05T00:00:00.0000000
250000,1,250000,10441,Gwangyang,2012-11-21T00:00:00.0000000
250000,1,250000,12833,Gwangyang,2012-10-08T00:00:00.0000000
250000,1,250000,13487,Gwangyang,2012-08-22T00:00:00.0000000
250000,1,250000,14335,Gwangyang,2013-04-01T00:00:00.0000000
250000,100,2500,1043,Iksan VIP,2014-04-23T00:00:00.0000000
250000,100,2500,14327,Iksan VIP,2011-05-04T00:00:00.0000000
250800,1,250800,919,Iksan,2012-12-14T00:00:00.0000000
255260,24,33400,9794,Pohang,2016-11-22T00:00:00.0000000
257000,100,2570,9798,Iksan VIP,2013-06-22T00:00:00.0000000
260000,1,260000,10852,Gwangyang,2011-02-16T00:00:00.0000000
264000,150,1760,41,Iksan VIP,2014-02-21T00:00:00.0000000
270000,1,270000,8562,Iksan,2013-05-20T00:00:00.0000000
270000,1,270000,14600,Gwangyang,2017-01-04T00:00:00.0000000
270000,9,30000,13796,Iksan,2019-10-21T00:00:00.0000000
272727,0,34352727,1913,Gunsan Chemical,2010-11-01T00:00:00.0000000
273500,15,89500,11129,Iksan VIP,2015-10-26T00:00:00.0000000
276000,2,138000,5605,Iksan VIP,2012-12-05T00:00:00.0000000
276600,18,29200,1797,Iksan VIP,2015-07-15T00:00:00.0000000
280000,1,280000,7234,Iksan VIP,2015-12-15T00:00:00.0000000
280000,1,280000,7854,Gwangyang,2019-10-08T00:00:00.0000000
280000,2,280000,692,Gwangyang,2013-10-12T00:00:00.0000000
280000,8000,35,1762,Iksan,2013-11-21T00:00:00.0000000
288000,21,88500,13492,Iksan VIP,2012-02-02T00:00:00.0000000
290000,1,290000,10021,Gwangyang,2012-12-01T00:00:00.0000000
290000,1,290000,10637,Gunsan Chemical,2010-10-15T00:00:00.0000000
297300,1,297300,4509,Gwangyang,2017-09-06T00:00:00.0000000
300000,1,300000,280,Gwangyang,2013-08-07T00:00:00.0000000
300000,1,300000,5190,Gwangyang,2015-10-09T00:00:00.0000000
300000,1,300000,6757,Iksan,2012-08-25T00:00:00.0000000
300000,1,300000,9538,Gwangyang,2014-03-14T00:00:00.0000000
300000,1,300000,9882,Iksan,2013-04-25T00:00:00.0000000
300000,1,300000,11693,Gwangyang,2014-05-15T00:00:00.0000000
300000,3,100000,13442,Iksan VIP,2016-02-24T00:00:00.0000000
300000,200,1500,5964,Iksan,2012-08-23T00:00:00.0000000
300000,300,1000,12480,Iksan VIP,2013-09-09T00:00:00.0000000
303000,2020,150,2364,Jungbu Incheon,2013-06-06T00:00:00.0000000
304000,2,304000,4134,Gwangyang,2020-01-15T00:00:00.0000000
305000,10,61000,10361,Iksan VIP,2015-01-02T00:00:00.0000000
307268,2,172,13968,Iksan,2015-12-12T00:00:00.0000000
310000,510,9440,13461,Iksan VIP,2017-08-07T00:00:00.0000000
312000,1,312000,11604,Gwangyang,2014-02-27T00:00:00.0000000
312000,80,7800,9927,Iksan VIP,2012-09-12T00:00:00.0000000
313700,512,4600,12184,Iksan VIP,2014-06-02T00:00:00.0000000
